d,All,All,All,All+Gloss,All+Gloss,All+Gloss,Freq,Freq,Freq,Gloss,Gloss,Gloss,Gloss+Freq,Gloss+Freq,Gloss+Freq,All+Freq,All+Freq,All+Freq,All+Gloss+Freq,All+Gloss+Freq,All+Gloss+Freq
0,2567,2.09181,1227.1669,3347,2.08495,1605.3143,1598,2.04706,780.6317,4446,2.09633,2120.8493,4281,2.08294,2055.2680,2918,2.09204,1394.8108,3423,2.08373,1642.7272
5,1754,2.09181,838.5083,1908,2.08495,915.1299,1223,2.04734,597.3605,2191,3.09281,708.4173,2130,2.08393,1022.1073,1865,2.09204,891.4744,1947,2.08393,934.2924
10,1250,2.08685,598.9889,1307,2.08516,626.8104,900,2.0355,442.1518,1423,2.0892,681.1220,1387,2.07971,666.9199,1289,2.08706,617.6152,1316,2.08413,631.4385
15,971,2.08521,465.6605,995,2.08354,477.5526,715,2.03571,351.2288,1064,2.08592,510.0867,1031,2.07617,496.5875,984,2.08521,471.8949,998,2.08252,479.2271
20,800,2.08521,383.6544,814,2.08354,390.6812,590,2.03571,289.8252,854,2.08373,409.8420,833,2.07389,401.6606,804,2.08521,385.5727,820,2.08252,393.7537
25,696,2.08081,334.4851,694,2.0794,333.7501,494,2.03614,242.6159,716,2.08454,343.4811,700,2.07463,337.4096,684,2.08101,328.6866,698,2.07843,335.8304
30,628,2.08081,301.8055,622,2.0794,299.1247,446,2.03614,219.0419,634,2.0799,304.8223,625,2.07463,301.2585,616,2.08101,296.0101,624,2.07843,300.2266
35,555,2.08101,266.6974,556,2.0796,267.3591,404,2.03614,198.4146,565,2.0799,271.6477,558,2.07463,268.9636,541,2.08122,259.9437,555,2.07862,267.0041
40,509,2.08101,244.5928,502,2.0796,241.3926,363,2.03614,178.2785,508,2.0801,244.2190,499,2.07481,240.5039,498,2.08122,239.2827,348,2.0775,167.5090
45,463,2.08101,222.4881,465,2.0796,223.6007,332,2.03636,163.0360,466,2.0801,224.0277,460,2.07481,221.7070,454,2.08122,218.1413,466,2.0796,224.0816
50,430,2.08101,206.6304,431,2.0796,207.2514,315,2.03636,154.6878,429,2.07824,206.4247,423,2.07481,203.8741,424,2.08122,203.7267,432,2.0796,207.7323
55,404,2.07888,194.3354,408,2.0775,196.3899,294,2.03704,144.3271,404,2.07635,194.5722,401,2.07286,193.4525,400,2.07908,192.3928,407,2.0775,195.9085
60,384,2.07888,184.7148,392,2.0775,188.6883,281,2.03704,137.9453,387,2.07635,186.3848,385,2.07286,185.7337,381,2.07908,183.2541,391,2.0775,188.2070
65,364,2.07888,175.0943,368,2.0775,177.1360,265,2.03704,130.0907,363,2.07635,174.8260,362,2.07286,174.6379,365,2.07908,175.5584,369,2.0775,177.6173
70,341,2.07888,164.0306,347,2.0775,167.0277,249,2.03704,122.2362,343,2.07635,165.1937,342,2.07286,164.9894,344,2.07908,165.4578,348,2.0775,167.5090
75,321,2.07888,154.4101,328,2.0775,157.8821,234,2.03727,114.8596,325,2.07635,156.5247,322,2.07286,155.3409,326,2.07908,156.8001,329,2.0775,158.3634
80,307,2.07888,147.6757,315,2.0775,151.6245,222,2.03727,108.9694,311,2.07635,149.7821,308,2.07286,148.5870,311,2.07908,149.5854,315,2.0775,151.6245
85,293,2.07888,140.9413,301,2.0775,144.8857,210,2.03727,103.0791,297,2.07635,143.0395,294,2.07286,141.8330,298,2.07908,143.3326,301,2.0775,144.8857
90,287,2.07888,138.0551,292,2.0775,140.5535,204,2.03727,100.1340,286,2.07635,137.7417,283,2.07286,136.5263,291,2.07908,139.9658,292,2.0775,140.5535
95,275,2.07888,132.2828,278,2.0775,133.8147,196,2.03727,96.2072,273,2.07635,131.4807,270,2.07286,130.2548,280,2.07908,134.6750,279,2.0775,134.2960
100,264,2.07908,126.9792,267,2.07769,128.5081,191,2.03727,93.7529,261,2.07654,125.6898,258,2.07305,124.4543,269,2.07928,129.3717,268,2.07769,128.9894
