sons , all+gloss vs freq , all+gloss vs all+freq , all+gloss vs all+gloss+freq , all+gloss vs all , all+gloss vs gloss , all+gloss vs gloss+freq , freq vs all+freq , freq vs all+gloss+freq , freq vs all , freq vs gloss , freq vs gloss+freq , all+freq vs all+gloss+freq , all+freq vs all , all+freq vs gloss , all+freq vs gloss+freq , all+gloss+freq vs all , all+gloss+freq vs gloss , all+gloss+freq vs gloss+freq , all vs gloss , all vs gloss+freq , gloss vs gloss+freq , 
20 , 0.276331973452 , 0.742361322535 , 0.946185228034 , 0.680070632649 , 0.861767034038 , 0.867527248371 , 0.3086403215 , 0.304231869939 , 0.207891371857 , 0.272325397309 , 0.308713389758 , 0.772672471534 , 0.817207574743 , 0.638348657371 , 0.70264872435 , 0.66520124216 , 0.837934603909 , 0.907970529136 , 0.569335687755 , 0.592534859648 , 0.901601412653 , 
25 , 0.282457529075 , 0.742751019911 , 0.947074225172 , 0.677160080375 , 0.861292090361 , 0.868696340498 , 0.31584972295 , 0.310868903367 , 0.211276867807 , 0.279291237898 , 0.31536260123 , 0.772684649577 , 0.81670827498 , 0.638494793887 , 0.703562077574 , 0.662254155757 , 0.837983316081 , 0.908153199781 , 0.566364245266 , 0.590476770383 , 0.901552700481 , 
30 , 0.287718443646 , 0.743018936857 , 0.946976800828 , 0.677391463192 , 0.862095841198 , 0.869877610668 , 0.321001035134 , 0.318029592644 , 0.215088595263 , 0.284856603544 , 0.321195883821 , 0.773001278695 , 0.820154661146 , 0.64013882969 , 0.705595810753 , 0.663350179626 , 0.838811423004 , 0.908019241308 , 0.56666869634 , 0.591499725994 , 0.900091335322 , 
35 , 0.294051026 , 0.743177251416 , 0.947707483407 , 0.674955854594 , 0.863423247884 , 0.871826097546 , 0.327662424648 , 0.325202459965 , 0.220166839189 , 0.290519393533 , 0.326724715338 , 0.773975522134 , 0.820142483103 , 0.642708396761 , 0.708360226512 , 0.660549229739 , 0.841295743774 , 0.9099433721 , 0.566522559825 , 0.591329233392 , 0.901601412653 , 
40 , 0.298922243196 , 0.743640017049 , 0.948523412288 , 0.674091213542 , 0.864701942398 , 0.872751628813 , 0.333142543993 , 0.330037143031 , 0.224843207697 , 0.294732996407 , 0.332168300554 , 0.774669670584 , 0.82037386592 , 0.644169761919 , 0.71075930098 , 0.659270535225 , 0.842793643062 , 0.911416915302 , 0.566205930707 , 0.591390123607 , 0.900761127687 , 
45 , 0.30358643366 , 0.744991779821 , 0.950277050478 , 0.671947877976 , 0.864105218291 , 0.874566157219 , 0.335748645193 , 0.333532241369 , 0.226036655909 , 0.299031845582 , 0.334506484808 , 0.776131035743 , 0.819838032028 , 0.644474212994 , 0.709626742982 , 0.65745600682 , 0.842598794374 , 0.91075930098 , 0.563806856238 , 0.587968093527 , 0.902587834135 , 
50 , 0.309504962553 , 0.74527187481 , 0.948827863362 , 0.672130548621 , 0.863094440723 , 0.872544602082 , 0.341216586495 , 0.339268099616 , 0.233063386714 , 0.303963952993 , 0.339328989831 , 0.776983498752 , 0.820714851123 , 0.644230652134 , 0.710954149668 , 0.656713146197 , 0.840199719905 , 0.910722766851 , 0.562540339767 , 0.586543262498 , 0.901869329599 , 
55 , 0.312476405042 , 0.744443767887 , 0.948827863362 , 0.672581136211 , 0.863642452658 , 0.871497290385 , 0.345052670036 , 0.344261097242 , 0.237678865006 , 0.307398161116 , 0.343116361201 , 0.776155391829 , 0.821445533703 , 0.642111672654 , 0.709553674724 , 0.658478962431 , 0.840759909882 , 0.909724167326 , 0.561639164586 , 0.586360591853 , 0.903744748219 , 
60 , 0.316105461852 , 0.742617061438 , 0.948109358826 , 0.672130548621 , 0.867649028801 , 0.875479510443 , 0.348425987944 , 0.347183827559 , 0.241307921817 , 0.311088108141 , 0.346477501066 , 0.775035011874 , 0.820045058759 , 0.644644705596 , 0.712208488096 , 0.657273336175 , 0.84474212994 , 0.91442489192 , 0.564026061012 , 0.58858917372 , 0.905875905742 , 
65 , 0.318699385009 , 0.739633440906 , 0.947220361688 , 0.668696340498 , 0.868562382025 , 0.874639225476 , 0.351543566949 , 0.350508433295 , 0.242233453084 , 0.314364001705 , 0.35056932351 , 0.772794251964 , 0.819302198137 , 0.643426901297 , 0.709724167326 , 0.652925774828 , 0.846544480302 , 0.914205687146 , 0.560713633319 , 0.583998051513 , 0.907312914815 , 
70 , 0.32078183036 , 0.737343968824 , 0.946465323023 , 0.667758631188 , 0.868282287036 , 0.874249528101 , 0.354904706814 , 0.351884552152 , 0.242087316568 , 0.315167752542 , 0.352639590818 , 0.77115021616 , 0.817134506485 , 0.642269987213 , 0.708445472813 , 0.651476587712 , 0.846921999635 , 0.914571028436 , 0.559033063387 , 0.582402727882 , 0.905961152043 , 
75 , 0.327406685746 , 0.737563173598 , 0.948304207514 , 0.666516470803 , 0.872094014492 , 0.877135724289 , 0.358375449065 , 0.356780125434 , 0.244669061682 , 0.321074103392 , 0.358886926871 , 0.769530536443 , 0.8158923461 , 0.64343907934 , 0.708689033672 , 0.650210071242 , 0.849747305608 , 0.915618340133 , 0.559727211837 , 0.581355416185 , 0.904438896669 , 
80 , 0.326919564026 , 0.73749010534 , 0.949034890093 , 0.66911039396 , 0.870705717591 , 0.876027522377 , 0.359593253364 , 0.356451318273 , 0.246398343786 , 0.320696584059 , 0.358704256226 , 0.768921634293 , 0.818595871643 , 0.641758509408 , 0.706423917676 , 0.653108445473 , 0.848967910857 , 0.913779455641 , 0.560591852889 , 0.582609754612 , 0.905717591183 , 
85 , 0.330938318212 , 0.732046520124 , 0.946550569324 , 0.664482737624 , 0.869122572003 , 0.873957255069 , 0.362954393229 , 0.360957194179 , 0.250063934726 , 0.322925165926 , 0.363173598003 , 0.765877123546 , 0.816574316507 , 0.636558485051 , 0.703391584972 , 0.647664860257 , 0.846751507033 , 0.914047372587 , 0.554368872922 , 0.577494976557 , 0.903671679961 , 
90 , 0.332606710102 , 0.732424039457 , 0.946891554527 , 0.665335200633 , 0.870754429763 , 0.875175059368 , 0.365913657675 , 0.362966571272 , 0.251001644036 , 0.3245326676 , 0.365548316386 , 0.765913657675 , 0.816342933691 , 0.638531328016 , 0.704329294282 , 0.648176338062 , 0.848687815868 , 0.914948547768 , 0.556402606101 , 0.578469219996 , 0.904706813615 , 
95 , 0.333191256165 , 0.728819338732 , 0.945795530658 , 0.66475065457 , 0.870194239786 , 0.873372709006 , 0.368385800402 , 0.363721609937 , 0.253437252634 , 0.324398709127 , 0.366644340255 , 0.76340498082 , 0.815441758509 , 0.635316324667 , 0.701552700481 , 0.645351032089 , 0.846690616818 , 0.914741521038 , 0.556536564574 , 0.575449065335 , 0.90301406564 , 
100 , 0.335139743043 , 0.725762649942 , 0.946099981733 , 0.663471960056 , 0.868440601595 , 0.872946477501 , 0.37033428728 , 0.365670096815 , 0.255020398222 , 0.326225415576 , 0.368568471047 , 0.760043840955 , 0.81531997808 , 0.631626377641 , 0.698581257992 , 0.64437678865 , 0.845241429702 , 0.914010838458 , 0.554539365524 , 0.574803629057 , 0.902490409791 , 
